n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
1120;CREATINA KINASA CK NAC;KIT;339,99;0;0;0;0
1121;CREATINA KINASA MB (CK-MB) CINETICA UV R1: 1X40 ML R2: 1X10 ML;KIT;916,5;0;0;0;0
1122;CREATINA KINASA MB CK MB;KIT;576,49;0;0;0;0
1123;CREATINA KINASA MB R1 2X35ML+R2 1X18ML PARA BS-240PRO;KIT;5210;0;0;0;0
1124;CREATINA KINASA NAC (CK-NAC) CINETICA UV R1:L 1X40 ML R2: 1X10 ML;KIT;780;0;0;0;0
1125;CREATINA KINASA NAC(CK-NAC) CINETICA UV R1;KIT;1100;0;0;0;0
1126;CREATINA KINASA R1 2X35ML+R2 1X18ML PARA BS-240PRO;KIT;2310;0;0;0;0
1127;CREATINA KINASA-MB (CK-NAC) CINETICA UV R1;KIT;1500;0;0;0;0
1128;CREATINANA 4X50 ML;KIT;142,5;0;0;0;0
1129;CREATINANA KINASA CK 1X20 ML A-25;KIT;635;0;0;0;0
1130;CREATINANA KINASA MB-CK-MB 1X10 ML A-25;KIT;941,5;0;0;0;0
1131;CREATININA 2X5X50ML A -25;KIT;374,67;0;0;0;0
1132;CREATININA 4 X 50 ML;KIT;135;0;0;0;0
1133;CREATININA 6*18ML;SET;450;0;0;0;0
1134;CREATININA CINETICA  R1: 1X240 ML  R2: 1X60 ML;KIT;154,5;0;0;0;0
1135;CREATININA CINETICO 1X240ML;KIT;120;0;5;5;0
1136;CREATININA CINETICO JAFFE;KIT;120,5;0;5;5;0
1137;CREATININA ENZ 6X36 ML + 6X12 ML;KIT;3150;0;0;0;0
1138;CREATININA FS 5X20ML/1 X 25 ML PARA DYASIS;KIT;517;0;0;0;0
1139;CREATININA-SARCOCINA R1 2X27ML + R2 1X18ML PARA BS-240PRO;KIT;2590;0;2;2;0
1140;CREATININA-SARCOCINA R1 2X27ML+R2 1X18ML PARA BS-240PRO;KIT;1500;0;0;0;0
1141;CRIOTUBOS 1.5 ML - 2 ML X 100;BOLSA;230;0;0;0;0
1142;CRIOVIALES TAPA ROSCA 2ML X 50;BOLSA;235;0;1;1;0
1143;CUBETA DE REACCION X 100 PARA DYASIS STARDUST;KIT;5716,66;0;0;0;0
1144;CUBETAS CON BARRA MAGNETICA X 500;KIT;1452;0;1;1;0
1145;CUBETAS CUAGULOMETRO M2 DOUBLE CUVETTES M2;KIT;850;0;0;0;0
1146;CUBETAS DE REACCION PARA ANALIZADOR INMUNOENSAYO CLIA CL 900I;KIT;6128;0;0;0;0
1147;CUBETAS DE REACCION PARA NEPHSTHAR X 200 UND;CJA;2500;0;0;0;0
1148;CUBETAS DE REACCION PARA NEPHTHAR X 200 CUB;CJA;2500;0;0;0;0
1149;CUBETAS PARA C-3510 X 1000 PZAS;BOLSA;3410;0;0;0;0
1150;CUBETAS PARA MUESTRAS A-25;KIT;404;0;10;10;0
1151;CUBRE OBJETO 22X22 MM X 100 PIEZA;CJA;6,7;0;160;160;0
1152;CUBREOBJETOS 22 X 22 MM X 100 PIEZAS;CJA;13;0;0;0;0
1153;CUBREOBJETOS 22 X 22 MM X 100 PIEZAS;CJA;12;0;0;0;0
1154;CUBREOBJETOS 22X22 MM X 100 PZAS;CJA;28;0;0;0;0
1155;CUCHILLAS DESECHABLES X 50;CJA;1692;0;0;0;0
1156;CULTIVO Y ANTIBIOGRAMA. UN SOLO LADO. BLANCO Y AZUL. TAMAÑO MEDIA CARTA. GRAMAJE: 75 G/M2 20 LB. MEDIDA: 216MM X 136MM. PAPEL QUÍMICO. CON UNA COPIA.;HOJA;0,25;0;5;5;0
1157;CULTIVO. UN SOLO LADO. BLANCO Y AZUL. TAMAÑO MEDIA CARTA. GRAMAJE: 75 G/M2 20 LB. MEDIDA: 216 MM X 136 MM. PAPEL QUÍMICO. CON UNA COPIA.;HOJA;0,25;0;5;5;0
1158;CUVETAS DE REACCION DE CLIA PARA CL-900I;KIT;6010;0;0;0;0
1159;CUVETAS HITACHI 1X1000U PARA BS-240PRO;KIT;360;0;0;0;0
1160;CUVETAS HITACHI 1X1000U PARA BS-240PRO;KIT;2900;0;2;2;0
1161;CUVETAS PLASTICAS BS-204PRO 1X8 KIT PARA BS-240PRO;KIT;4060;0;0;0;0
1162;CUVETTES 3000 PACK;BOLSA;1752,5;0;0;0;0
1163;CUVETTES 3000 PACK CENTAUR;BOLSA;1743;0;1;1;0
1164;CYSTICERCOSIS  IGG ELISA X 96 DETERMINACIONES;KIT;2200;0;0;0;0
1165;CYSTICERCOSIS IGG ELISA X 96;KIT;2100;0;1;1;0
1166;CYTOMEGALOVIRUS IGG  ELISA X 96 DETERMINACIONES;KIT;1166,63;0;0;0;0
1167;CYTOMEGALOVIRUS IGG CUANTITATIVO CON CALIBRACIONES O ESTÁNDARES ELISA X 96 DETERMINACIONES;KIT;1099,9;0;0;0;0
1168;CYTOMEGALOVIRUS IGG ELISA  X 96 DETERMINACIONES;KIT;1310;0;0;0;0
1169;CYTOMEGALOVIRUS IGG ELISA X 96;KIT;1430;0;0;0;0
1170;CYTOMEGALOVIRUS IGG X 96 DETERMINACIONES;KIT;1399,99;0;0;0;0
1171;CYTOMEGALOVIRUS IGM  ELISA X 96 DETERMINACIONES;KIT;1133,3;0;10;10;0
1172;CYTOMEGALOVIRUS IGM CUANTITATIVO CON CALIBRACIONES O ESTÁNDARES ELISA X 96 DETERMINACIONES;KIT;1099,9;0;0;0;0
1173;CYTOMEGALOVIRUS IGM ELISA  X 96 DETERMINACIONES;KIT;1380;0;0;0;0
1174;CYTOMEGALOVIRUS IGM ELISA X 96;KIT;1640;0;0;0;0
1175;CYTOMEGALOVIRUS IGM ELISA X 96 DETERMINACIONES;KIT;1490;0;0;0;0
1176;D513 CONTENEDOR DE RESIDUOS DESECHABLE 600 ML, PARA ABL-835;FRASCO;300;0;0;0;0
1177;D513 CONTENEDOR DE RESIDUOS DESECHABLE 600 ML, PARA ABL-835;FRASCO;300;0;5;5;0
1178;DEGASSING PUM;PZA;2900;0;5;5;0
1179;DERMATOMO DE ACERO INOXIDABLE;UND;19150;0;0;0;0
1180;DESCALCIFICADOR X 1 LITRO;FRASCO;388,33;0;0;0;0
1181;DESCALCIFICANTE DE HUESOS;LITRO;377,36;0;2;2;0
1182;DESCARGO Y SOLICITUD DE SUMINISTROS (FORMULARIO D5). UN LADO. TAMAÑO CARTA. BLANCO Y NEGRO. GRAMAJE: 75 G/M2. MEDIDA: 8 1/2 X 11 (216MMX279MM).;HOJA;0,2;0;0;0;0
1183;DESHIDRATANTE HISTOLOGICO;LITRO;290,67;52;0;10;42
1184;DESHIDRATANTE HISTOLOGICO X 5000 ML;LITRO;462,5;0;1;1;0
1185;DESINFECTANTE  DE ALTO NIVEL OPA/PLUS (MICROBIEX);BIDON;125;0;0;0;0
1186;DESINFECTANTE AMONIO CUATERNARIO (P-4 D);BIDON;193,33;0;1;1;0
1187;DESINFECTANTE ASAP 20 DE 5 LITROS;BIDON;300;0;0;0;0
1188;DESINFECTANTE CON ATOMIZADOR DE ESPUMA (DMQ  RTU);BIDON;120;0;0;0;0
1189;DESINFECTANTE CONCENTRADO QUAD-5;LITRO;200;0;0;0;0
1190;DESINFECTANTE D-50 - 500;LITRO;320;0;0;0;0
1191;DESINFECTANTE DE AMONIO CUATERNARIO DE 1 LITRO (DMQ-RTU);FRASCO;81,3;0;0;0;0
1192;DETERGENTE CD 80 PARA MINDRAY BS-240PRO;KIT;950;0;10;10;0
1193;DETERGENTE CD 80 X 1L;FRASCO;560;0;0;0;0
1194;DETERGENTE CD80 1X1 L PARA BS-240PRO;KIT;570;0;0;0;0
1195;DETERGENTE CONTADOR  HEMATOLOGICO X 20 L;FRASCO;345;0;0;0;0
1196;DETERGENTE M30R BC 3000 X 500 ML;KIT;351,5;0;0;0;0
1197;DETERGENTE NO IONICO;FRASCO;65;0;0;0;0
1198;DETERGENTE NO IONICO 500 ML;FRASCO;109,75;0;5;5;0
1199;DETERGENTE NO IONICO 500 ML;FRASCO;149,9;0;5;5;0
1200;DETERGENTE NO IONICO FRASCO X 500ML;FRASCO;80;0;0;0;0
1201;DETERGENTE NO IONICO X 1L;FRASCO;210;0;0;0;0
1202;DETERGENTE NOION 500 ML;FRASCO;94;0;2;2;0
1203;DETERGENTE PENTA ENZIMATICO   DE 5 LITROS;BIDON;570,67;0;0;0;0
1204;DIACAP ULTRA FILT;PZA;2500;0;0;0;0
1205;DIACAP ULTRA PYRONGEN FILT;PZA;2000;0;1;1;0
1206;DIALYSER COUPLING BLUE;PZA;1100;0;0;0;0
1207;DIASAFE;PZA;2135;0;1;1;0
1208;DIATRO CLEAZ CC X 100 ML;FRASCO;900;0;0;0;0
1209;DIATRO DEIL X 20 LT PARA CONTADOR ABACUS 5;FRASCO;1500;0;0;0;0
1210;DIATRO DIFF PARA CONTADOR ABACUS 5;FRASCO;990;0;0;0;0
1211;DIATRO HIPOCLEAN CC 100 ML;KIT;900;0;0;0;0
1212;DIATRO HIPOCLEAN PARA CONTADOR ABACUS 5;FRASCO;810;0;0;0;0
1213;DIATRO HYPOCLEAN CC X 100 ML;FRASCO;900;0;10;10;0
1214;DIATRON DIFF 5P;FRASCO;950;0;0;0;0
1215;DIATRON DIFF 5P;KIT;950;0;0;0;0
1216;DIATRON DIFF 5P;FRASCO;950;0;0;0;0
1217;DIATRON LYSE 5P;KIT;2550;0;0;0;0
1218;DIATRON LYSE 5P;FRASCO;2550;0;0;0;0
1219;DIATRON LYSE SP;FRASCO;2550;0;5;5;0
1220;DILUYENTE (M 30D) BC- 3000 X 20 L;GAL;369,9;0;5;5;0
1221;DILUYENTE (M 52D) BC- 5130X 20L;GAL;369,9;0;0;0;0
1222;DILUYENTE ABACUS 20 L;FRASCO;1200;0;0;0;0
1223;DILUYENTE ABACUS 20 L;FRASCO;1200;0;2;2;0
1224;DILUYENTE ABACUS 20 L;KIT;1200;0;0;0;0
1225;DILUYENTE ABACUS 20L;FRASCO;1200;0;0;0;0
1226;DILUYENTE BC -3000 X 20 L M-300;FRASCO;345;0;1;1;0
1227;DILUYENTE DE ORINA MEDICA EASYLITE 500 ML;FRASCO;980;0;0;0;0
1228;DILUYENTE DS PARA BC-780 X 20L;GAL;1000;0;1;1;0
1229;DILUYENTE M-52D BC 5130 X 20 L;KIT;363;0;0;0;0
1230;DILUYENTE M-6 DR PARA BC-780 X 1L;FRASCO;1280;0;0;0;0
1231;DILUYENTE PARA CONTADOR ABACUS 5;CJA;1500;0;0;0;0
1232;DIMERO D CONTROL NEPHTAR 0.5 ML;KIT;1400;0;0;0;0
1233;DIMERO D- NEPHSTAR  0.5 ML;KIT;1400;0;0;0;0
1234;DIMERO D- NEPHSTAR X 50 DET;KIT;4400;0;10;10;0
1235;DIMEROS D  NEPHSTAR X 50 DETERMINACIONES;KIT;4400;0;2;2;0
1236;DIMEROS D CALIBRADOR PARA C-3510 2X1ML+2X1ML+2X1ML+2X1ML+2X1ML;KIT;4660;0;0;0;0
1237;DIMEROS D CONTROL  NEPHSTAR 0.5 ML;KIT;1400;0;0;0;0
1238;DIMEROS D CONTROL 0.5 ML NEPHSTAR;KIT;1500;0;0;0;0
1239;DIMEROS D ELISA X 96 DETERMINACIONES;KIT;2990;0;0;0;0
1240;DIMEROS D ELISA X 96 DETERMINACIONES;KIT;2000;0;5;5;0
1241;DIMEROS D NEPHSTAR;UND;4400;0;5;5;0
1242;DIMEROS D PARA C-3510 2X6ML+2X4ML+2X6ML;KIT;5110;0;0;0;0
1243;DISCO ANTIBIOGRAMA AMPICILINA X 50;FRASCO;37;0;0;0;0
1244;DISCO DE ACIDO BORONICO X 50;FRASCO;248;0;2;2;0
1245;DISCO DE ANTIBIOGRAMA CEFALOTINA X 50;FRASCO;29;0;0;0;0
1246;DISCO DE ANTIBIOGRAMA CEFIXIME X 50;FRASCO;29;0;0;0;0
1247;DISCO DE ANTIBIOGRAMA CEFOTAXIMA X 50;FRASCO;29;0;1;1;0
1248;DISCO DE ANTIBIOGRAMA CEFOTAXIMA/ACIDO CLAVULANICO X 50;FRASCO;29;0;0;0;0
1249;DISCO DE ANTIBIOGRAMA CEFTAZIDIMA X 50;FRASCO;29;0;1;1;0
1250;DISCO DE ANTIBIOGRAMA CEFTAZIDIMA/ACIDO CLVULANICO X 50;FRASCO;29;0;0;0;0
1251;DISCO DE ANTIBIOGRAMA CEFUREXIMA X 50;FRASCO;29;0;0;0;0
1252;DISCO DE ANTIBIOGRAMA CLORANFENICOL X 50;FRASCO;29;0;0;0;0
1253;DISCO DE ANTIBIOGRAMA GENTAMICINA DE ALTA CARGA 120 UG X 50;FRASCO;29;0;0;0;0
1254;DISCO DE ANTIBIOGRAMA MEROPENEN X 50;FRASCO;29;0;0;0;0
1255;DISCO DE ANTIBIOGRAMA NORFLOXACINA X 50;FRASCO;29;0;10;10;0
1256;DISCO DE ANTIBIOGRAMA ONPG;FRASCO;106;0;160;160;0
1257;DISCO DE ANTIBIOGRAMA OPTOQUINA;FRASCO;69;0;0;0;0
1258;DISCO DE ANTIBIOGRAMA OXIDASA;FRASCO;69;0;0;0;0
1259;DISCO DE ANTIBIOGRAMA PENICILINA X 50;FRASCO;29;0;0;0;0
1260;DISCO DE ANTIBIOGRAMA POLIMIXINA B X 50;FRASCO;29;0;0;0;0
1261;DISCO DE ANTIBIOGRAMA VANCOMICINA X 50;FRASCO;29;0;5;5;0
1262;DISCO DE EDTA X 50;FRASCO;198;0;5;5;0
1263;DISCOS DE ANTIBIOGRAMA ACIDO NALIDIXICOX 50;FRASCO;39;0;0;0;0
1264;DISCOS DE ANTIBIOGRAMA AMIKACINA X 50;FRASCO;52;0;0;0;0
1265;DISCOS DE ANTIBIOGRAMA AMOXICILINA X 50;FRASCO;54;0;2;2;0
1266;DISCOS DE ANTIBIOGRAMA AMOXICILNA/CLAVULANICO X 50;FRASCO;36;0;0;0;0
1267;DISCOS DE ANTIBIOGRAMA AMPICILINA/SULBACTAM;FRASCO;75;0;0;0;0
1268;DISCOS DE ANTIBIOGRAMA AMPICILINA/SULBACTAM X 50;FRASCO;66;0;1;1;0
1269;DISCOS DE ANTIBIOGRAMA AZITROMICINA X 50;FRASCO;37;0;0;0;0
1270;DISCOS DE ANTIBIOGRAMA AZTREONAM X 50;FRASCO;36;0;1;1;0
1271;DISCOS DE ANTIBIOGRAMA BACITRACINA;FRASCO;172;0;0;0;0
1272;DISCOS DE ANTIBIOGRAMA CEFAZOLINA X 50;FRASCO;39;0;0;0;0
1273;DISCOS DE ANTIBIOGRAMA CEFEPIME X 50;FRASCO;39;0;0;0;0
1274;DISCOS DE ANTIBIOGRAMA CEFOXITIVA X 50;FRASCO;54;0;0;0;0
1275;DISCOS DE ANTIBIOGRAMA CEFTAROLINA;FRASCO;75;0;0;0;0
1276;DISCOS DE ANTIBIOGRAMA CEFTAROLINA X 50;FRASCO;66;0;10;10;0
1277;DISCOS DE ANTIBIOGRAMA CEFTAZIDIMA/AVIBACTAN X 50;FRASCO;66;0;160;160;0
1278;DISCOS DE ANTIBIOGRAMA CEFTRIAXONA X 50;FRASCO;39;0;0;0;0
1279;DISCOS DE ANTIBIOGRAMA CIPROFLOXACINA X 50;FRASCO;54;0;0;0;0
1280;DISCOS DE ANTIBIOGRAMA CLARITROMICINA X 50;FRASCO;45;0;0;0;0
1281;DISCOS DE ANTIBIOGRAMA CLINAMICINA X 50;FRASCO;66;0;0;0;0
1282;DISCOS DE ANTIBIOGRAMA CLINDAMICINA;FRASCO;75;0;5;5;0
1283;DISCOS DE ANTIBIOGRAMA CLINDAMICINA X 50;FRASCO;39;0;5;5;0
1284;DISCOS DE ANTIBIOGRAMA CLORANFENICOL;FRASCO;75;0;0;0;0
1285;DISCOS DE ANTIBIOGRAMA CLOXACILINA X 50;FRASCO;37;0;0;0;0
1286;DISCOS DE ANTIBIOGRAMA COLISTINA X 50;FRASCO;43;0;2;2;0
1287;DISCOS DE ANTIBIOGRAMA ERITROMICINA X 50;FRASCO;39;0;0;0;0
1288;DISCOS DE ANTIBIOGRAMA ERITROMICINA X 50;FRASCO;66;0;0;0;0
1289;DISCOS DE ANTIBIOGRAMA ERTAPENEM X 50;FRASCO;48;0;1;1;0
1290;DISCOS DE ANTIBIOGRAMA ERTAPENEN;FRASCO;75;0;0;0;0
1291;DISCOS DE ANTIBIOGRAMA FLUCONAZOL;FRASCO;100;0;1;1;0
1292;DISCOS DE ANTIBIOGRAMA FLUCONAZOL X 50;FRASCO;66;0;0;0;0
1293;DISCOS DE ANTIBIOGRAMA FOSFOMICINA;FRASCO;100;0;0;0;0
1294;DISCOS DE ANTIBIOGRAMA FOSFOMICINA X 50;FRASCO;66;0;0;0;0
1295;DISCOS DE ANTIBIOGRAMA FOSFOMICINA X 50;FRASCO;47;0;0;0;0
1296;DISCOS DE ANTIBIOGRAMA GENTAMICINA 10 UG X 50;FRASCO;54;0;0;0;0
1297;DISCOS DE ANTIBIOGRAMA IMIPENEN X 50;FRASCO;66;0;10;10;0
1298;DISCOS DE ANTIBIOGRAMA LEVOFLOXACINA;FRASCO;75;0;160;160;0
1299;DISCOS DE ANTIBIOGRAMA LEVOFLOXACINA X 50;FRASCO;45;0;0;0;0
1300;DISCOS DE ANTIBIOGRAMA LINEZOLID;FRASCO;75;0;0;0;0
1301;DISCOS DE ANTIBIOGRAMA LINEZOLID X 50;FRASCO;48;0;0;0;0
1302;DISCOS DE ANTIBIOGRAMA LINEZOLID X 50;FRASCO;66;0;0;0;0
1303;DISCOS DE ANTIBIOGRAMA METRONIDAZOL X 50;FRASCO;48;0;5;5;0
1304;DISCOS DE ANTIBIOGRAMA MINOCYCLINE X 50;FRASCO;57,5;0;5;5;0
1305;DISCOS DE ANTIBIOGRAMA NEOMICINA;FRASCO;75;0;0;0;0
1306;DISCOS DE ANTIBIOGRAMA NEOMICINA X 50;FRASCO;48;0;0;0;0
1307;DISCOS DE ANTIBIOGRAMA NISTATINA;FRASCO;110;0;2;2;0
1308;DISCOS DE ANTIBIOGRAMA NITROFURANTOINA X 50;FRASCO;45;0;0;0;0
1309;DISCOS DE ANTIBIOGRAMA NOVOBIOCINA;FRASCO;75;0;0;0;0
1310;DISCOS DE ANTIBIOGRAMA NOVOBIOCINA X 50;FRASCO;49;0;1;1;0
1311;DISCOS DE ANTIBIOGRAMA OXACILINA;FRASCO;75;0;0;0;0
1312;DISCOS DE ANTIBIOGRAMA OXACILINA X 50;FRASCO;45;0;1;1;0
1313;DISCOS DE ANTIBIOGRAMA PENICILINA;FRASCO;75;0;0;0;0
1314;DISCOS DE ANTIBIOGRAMA PIPERACILINA X 50;FRASCO;48;0;0;0;0
1315;DISCOS DE ANTIBIOGRAMA PIPERACILINA/TAZOBACTAN X 50;FRASCO;54;0;0;0;0
1316;DISCOS DE ANTIBIOGRAMA SULFATRIN/TRIMETROPRIM X 50;FRASCO;45;0;0;0;0
1317;DISCOS DE ANTIBIOGRAMA TEICOPLAMINA X 50;FRASCO;49;0;0;0;0
1318;DISCOS DE ANTIBIOGRAMA TETRACICLINA X 50;FRASCO;45;0;10;10;0
1319;DISCOS DE AZTREONAM;FRASCO;32;0;160;160;0
1320;DISCOS DE CEFOTAXIMA;FRASCO;32;0;0;0;0
1321;DISCOS DE CEFOTAXIMA/ACIDO CLAVULANICO;FRASCO;32;0;0;0;0
1322;DISCOS DE CEFOXITINA;FRASCO;32;0;0;0;0
1323;DISCOS DE CEFTAZIDIMA;FRASCO;32;0;0;0;0
1324;DISCOS DE CEFTAZIDIMA/ACIDO CLAVULANICO;FRASCO;32;0;5;5;0
1325;DISCOS DE CLINDAMICINA;FRASCO;32;0;5;5;0
1326;DISCOS DE EDTA;FRASCO;540;0;0;0;0
1327;DISCOS DE EMIPENEN;FRASCO;32;0;0;0;0
1328;DISCOS DE MEROPEMEN;FRASCO;32;0;2;2;0
1329;DISCOS DE NOVOBIOCINA;FRASCO;32;0;0;0;0
1330;DISCOS DE OPTOQUINA;FRASCO;77;0;0;0;0
1331;DISCOS DE OXACILINA;FRASCO;32;0;1;1;0
1332;DISCOS DE OXIDASA;FRASCO;77;0;0;0;0
1333;DISCOS DE PIPERACILINA/TAZOBACTAN;FRASCO;32;0;1;1;0
1334;DISCOS DE PYR;FRASCO;119;0;0;0;0
1335;DISCOS DE VANCOMICINA;FRASCO;32;0;0;0;0
1336;DISTRON LYSE 5P;CJA;2550;0;0;0;0
1337;DIVERSOS REACTIVOS (ALFA AMILASA, BILIRRUBINIMA;GLOBAL;448704;0;0;0;0
1338;DIVERSOS REACTIVOS (ANA ELISA , ANCA C ELISA;GLOBAL;67775;0;0;0;0
1339;DIVERSOS REACTIVOS (AQC CARTRIDGE, WASH RP500;GLOBAL;603285;0;0;0;0
1340;DIVERSOS REACTIVOS (BILIRRUBINIMA DIRECTA, BILIRRUBINIMA TOTAL);GLOBAL;153600;0;0;0;0
1341;DIVERSOS REACTIVOS (BILIRRUBINIMA, FOSFATASA, HDL);GLOBAL;232483;0;0;0;0
1342;DIVERSOS REACTIVOS (LIPASA,HEMOCULTIVO;GLOBAL;83088;0;0;0;0
1343;DIVERSOS REACTIVOS (SOLUCION DE LIMPIEZA, CALIBRACION;GLOBAL;214150;0;0;0;0
1344;DIVERSOS REACTIVOS (TSH CLIA , T4 CLIA;GLOBAL;396933;0;0;0;0
1345;DIVERSOS REACTIVOS( ALFA AMILASA-BILIRRUBINIMA DIRECTA-TOTAL);GLOBAL;224267;0;0;0;0
1346;DMV VALVE DLG;PZA;1615;0;5;5;0
1347;DRENAJE TUBULAR ABDOMINAL SILICONADO;PZA;19;0;0;0;0
1348;E TEST O TIRAS REACTIVAS MIC DE VANCOMICINA;KIT;66;0;0;0;0
1349;EA 50;LITRO;444,29;0;2;2;0
1350;ECHINOCOCCUS IGG (HIDATIDOSIS) ELISA X 96 DETERMINACIONES;KIT;2650;0;0;0;0
1351;EDTA K3;FRASCO;170;0;0;0;0
1352;EDTA K3 100 ML;FRASCO;199,99;0;1;1;0
1353;EDTA TRIPOTASICO 25ML;FRASCO;100;0;0;0;0
1354;ELECTRO DE CLORO PARA EQUIPO EASY LYTE PLUS NA K CL;KIT;3300;0;1;1;0
1355;ELECTRO DE POTACIO PARA EQUIPO EASY LYTE PLUS NA K CL;KIT;3300;0;0;0;0
1356;ELECTRO DE SODIO PARA EQUIPO EASY LYTE PLUS NA K CL;KIT;3300;0;0;0;0
1357;ELECTRODO DE CL;KIT;3200;0;0;0;0
1358;ELECTRODO DE CLORO;KIT;3898;0;0;0;0
1359;ELECTRODO DE CLORO PARA EQUIPO EASY LYTE PLUS NA,K,CL;KIT;3900;0;0;0;0
1360;ELECTRODO DE K;KIT;3200;0;10;10;0
1361;ELECTRODO DE NA;KIT;3200;0;0;0;0
1362;ELECTRODO DE NIVEL;UND;1500;0;0;0;0
1363;ELECTRODO DE POTASIO;KIT;3898;0;0;0;0
1364;ELECTRODO DE POTASIO PARA EQUIPO EASY LYTE PLUS NA,K,CL;KIT;3900;0;0;0;0
1365;ELECTRODO DE SODIO;PZA;4238;0;0;0;0
1366;ELECTRODO DE SODIO PARA EQUIPO EASY LYTE PLUS NA,K,CL;KIT;3900;0;5;5;0
1367;ELECTRODO NA. ELECTRODO K, ELECTRODO CI. TUBO DE BOMBA PERISTATICA;KIT;19200;0;0;0;0
1368;ELECTRODOS  X 50 DESCARTABLES;BOLSA;100;0;0;0;0
1369;ELECTROLITOS EASYLITE PLUS NA, K, CL;PACK;4798,5;0;0;0;0
1370;ELECTROLITOS NA/K/CL 800ML;PQTES;3500;0;2;2;0
1371;EMPAQUETADURA;UND;1400;0;0;0;0
1372;ENA PERFIL  ELISA X 96 DETERMINACIONES;KIT;1681;0;0;0;0
1373;ENA PERFIL ELISA  X 96 DETER;KIT;1626,33;0;1;1;0
1374;ENA PERFIL ELISA X 96 DETERMINACIONES;KIT;3500;0;0;0;0
1375;ENA PERFIL ELISA X 96 DETERMINACIONES;KIT;1640;0;1;1;0
1376;ENA PERFIL ELISA X 96 DETERMINACIONES;KIT;1640;0;0;0;0
1377;EOSINA AMARILLA;LITRO;407,25;0;0;0;0
1378;EOSINA AMARILLO;FRASCO;190,97;0;0;0;0
1379;EPSTEIN BARR IG G ELISA X 96 DET.;KIT;4319,9;0;0;0;0
1380;EPSTEIN BARR IG M ELISA X 96 DET.;KIT;6359,9;0;0;0;0
1381;EPSTEIN BARR IGG  ELISA X 96 DETERMINACIONES;KIT;1400;0;10;10;0
1382;EPSTEIN BARR IGG ELISA X 96;KIT;1430;0;0;0;0
1383;EPSTEIN BARR IGG ELISA X 96 DETERMINACIONES;KIT;2950;0;0;0;0
1384;EPSTEIN BARR IGG ELISA X 96 DETERMINACIONES;KIT;1400;0;0;0;0
1385;EPSTEIN BARR IGM  ELISA X 96 DETERMINACIONES;KIT;1400;0;0;0;0
1386;EPSTEIN BARR IGM ELISA X 96;KIT;1970;0;0;0;0
1387;EPSTEIN BARR IGM ELISA X 96 DETERMINACIONES;KIT;1400;0;5;5;0
1388;EPSTEIN BARR IGM ELISA X 96 DETERMINACIONES;KIT;3150;0;5;5;0
1389;ERITROMICINA 15 UG * 50 DISCOS;FRASCO;29;0;0;0;0
1390;ESCOBILLA PARA LAVAR TUBO MEDIANO PARA TUBO DE ENSAYO;PZA;19,9;0;0;0;0
1391;ESPUMA DETERGENTE DESINFECTANTE DMQ RTU DE 1 LITRO;FRASCO;155;0;2;2;0
1392;ESTANDAR PARA HEMOGLOBINA;KIT;180;0;0;0;0
1393;ESTETOSCOPIO AMERICANO PEDIATRICO;PZA;280;0;0;0;0
1394;ESTETOSCOPIO,;UND;1420;0;1;1;0
1395;ESTRADIOL (CLIA) 2X50T PARA CL 900I;KIT;1880;0;0;0;0
1396;ESTRADIOL CALIBRADOR 3X2ML PARA CL-900I;KIT;1670;0;1;1;0
1397;ESTRADIOL CALIBRADOR CLIA (CL 1200I) 3X2ML;KIT;1670;0;0;0;0
1398;ESTRADIOL CALIBRADOR CLIA (CL 900I) 3X2 ML;KIT;1746;0;0;0;0
1399;ESTRADIOL CLIA (CL 1200I) 2X 50T;KIT;1880;0;0;0;0
1400;ESTRADIOL CLIA (CL 900I) 2X50T;KIT;2112;0;0;0;0
1401;ESTRADIOL ELISA X 96 DETERMINACIONES;KIT;1200;0;0;0;0
1402;FACTOR REUMATOIDE (FR) X 50 TEST LATEX;KIT;70,5;0;10;10;0
1403;FACTOR REUMATOIDE + INTERNOS;KIT;146;0;160;160;0
1404;FACTOR REUMATOIDEO LATEX X 100 DETERMINACIONES  + CONTROLES INTERNOS;KIT;179;0;0;0;0
1405;FACTOR REUMATOIDEO LATEX X 100 DETERMINACIONES + CONTROLES INTERNOS;KIT;115;0;0;0;0
1406;FACTOR RH SUERO CONTROL X 10 ML;FRASCO;84;0;0;0;0
1407;FACTOR RH SUERO CONTROL X 10ML;FRASCO;84;0;0;0;0
1408;FACTOR TH SUERO CONTROL *10ML;FRASCO;84;0;5;5;0
1409;FAN FILTER PARA ABL-835;PZA;320;0;5;5;0
1410;FERRITINA  ELISA X 96;KIT;1040;0;0;0;0
1411;FERRITINA (CLIA) 2X50T PARA CL 900I;KIT;1880;0;0;0;0
1412;FERRITINA CALIBRADOR 3X2ML PARA CL-900I;KIT;1880;0;2;2;0
1413;FERRITINA ELISA POR 96 DETERMINACIONES;KIT;1040;0;0;0;0
1414;FERRITINA ELISA X 95 DETER.;KIT;1920;0;0;0;0
1415;FERRITINA ELISA X 96 DETERMINACIONES;KIT;1490;0;1;1;0
1416;FERRITINA NEPHSTAR 6X8ML + 6X4ML;KIT;2760;0;0;0;0
1417;FIBRA DE VIDRIO;UND;1500;0;1;1;0
1418;FIBRINOGENO 2 ML;FRASCO;721;0;0;0;0
